"","Location","MidPeriod","AgeGrpStart","AgeGrpSpan","qx","ex"
"1","Lower-middle-income countries",2018,0,1,0.03667175,68.1094
"2","Lower-middle-income countries",2018,1,4,0.01299327,69.6963
"3","Lower-middle-income countries",2018,5,5,0.00627342,66.5934
"4","Lower-middle-income countries",2018,10,5,0.00470919,61.9995
"5","Lower-middle-income countries",2018,15,5,0.00637189,57.2812
"6","Lower-middle-income countries",2018,20,5,0.00847864,52.6317
"7","Lower-middle-income countries",2018,25,5,0.00959623,48.0598
"8","Lower-middle-income countries",2018,30,5,0.01135266,43.5007
"9","Lower-middle-income countries",2018,35,5,0.01450396,38.9705
"10","Lower-middle-income countries",2018,40,5,0.01910599,34.5057
"11","Lower-middle-income countries",2018,45,5,0.0270572,30.1266
"12","Lower-middle-income countries",2018,50,5,0.04058957,25.8906
"13","Lower-middle-income countries",2018,55,5,0.06066962,21.8736
"14","Lower-middle-income countries",2018,60,5,0.09049728,18.1154
"15","Lower-middle-income countries",2018,65,5,0.13786522,14.6552
"16","Lower-middle-income countries",2018,70,5,0.20843834,11.5794
"17","Lower-middle-income countries",2018,75,5,0.30672885,8.9459
"18","Lower-middle-income countries",2018,80,5,0.43167327,6.7835
"19","Lower-middle-income countries",2018,85,5,0.57321728,5.0809
"20","Lower-middle-income countries",2018,90,5,0.7111741,3.7969
"21","Lower-middle-income countries",2018,95,5,0.82374387,2.8684
"22","Lower-middle-income countries",2018,100,-1,NA,2.2222
"23","Lower-middle-income countries",2023,0,1,0.03212576,69.1315
"24","Lower-middle-income countries",2023,1,4,0.01171733,70.4214
"25","Lower-middle-income countries",2023,5,5,0.00576761,67.2379
"26","Lower-middle-income countries",2023,10,5,0.00434689,62.6148
"27","Lower-middle-income countries",2023,15,5,0.00590761,57.8774
"28","Lower-middle-income countries",2023,20,5,0.00792804,53.2058
"29","Lower-middle-income countries",2023,25,5,0.00894507,48.6104
"30","Lower-middle-income countries",2023,30,5,0.01054969,44.0261
"31","Lower-middle-income countries",2023,35,5,0.01351139,39.4679
"32","Lower-middle-income countries",2023,40,5,0.01791777,34.9727
"33","Lower-middle-income countries",2023,45,5,0.02560924,30.5628
"34","Lower-middle-income countries",2023,50,5,0.03857591,26.2962
"35","Lower-middle-income countries",2023,55,5,0.05780244,22.2446
"36","Lower-middle-income countries",2023,60,5,0.08638672,18.4468
"37","Lower-middle-income countries",2023,65,5,0.13211688,14.9412
"38","Lower-middle-income countries",2023,70,5,0.2010071,11.8156
"39","Lower-middle-income countries",2023,75,5,0.29746282,9.1346
"40","Lower-middle-income countries",2023,80,5,0.42124538,6.9271
"41","Lower-middle-income countries",2023,85,5,0.56301399,5.1845
"42","Lower-middle-income countries",2023,90,5,0.70280432,3.8678
"43","Lower-middle-income countries",2023,95,5,0.81811166,2.9145
"44","Lower-middle-income countries",2023,100,-1,NA,2.2506
"45","Lower-middle-income countries",2028,0,1,0.02853646,70.0647
"46","Lower-middle-income countries",2028,1,4,0.010706,71.119
"47","Lower-middle-income countries",2028,5,5,0.00530259,67.8717
"48","Lower-middle-income countries",2028,10,5,0.00402575,63.2215
"49","Lower-middle-income countries",2028,15,5,0.00548906,58.467
"50","Lower-middle-income countries",2028,20,5,0.007433,53.7752
"51","Lower-middle-income countries",2028,25,5,0.00843474,49.1586
"52","Lower-middle-income countries",2028,30,5,0.00988697,44.555
"53","Lower-middle-income countries",2028,35,5,0.01262408,39.9741
"54","Lower-middle-income countries",2028,40,5,0.01679368,35.4519
"55","Lower-middle-income countries",2028,45,5,0.02413725,31.0124
"56","Lower-middle-income countries",2028,50,5,0.03657313,26.7136
"57","Lower-middle-income countries",2028,55,5,0.05494099,22.6267
"58","Lower-middle-income countries",2028,60,5,0.08232093,18.788
"59","Lower-middle-income countries",2028,65,5,0.12604527,15.2361
"60","Lower-middle-income countries",2028,70,5,0.19303539,12.054
"61","Lower-middle-income countries",2028,75,5,0.28816717,9.3144
"62","Lower-middle-income countries",2028,80,5,0.41165034,7.0536
"63","Lower-middle-income countries",2028,85,5,0.5546589,5.2666
"64","Lower-middle-income countries",2028,90,5,0.69700369,3.916
"65","Lower-middle-income countries",2028,95,5,0.81509962,2.9392
"66","Lower-middle-income countries",2028,100,-1,NA,2.2609
"67","Lower-middle-income countries",2033,0,1,0.02564851,70.9224
"68","Lower-middle-income countries",2033,1,4,0.00984277,71.7861
"69","Lower-middle-income countries",2033,5,5,0.00490855,68.4841
"70","Lower-middle-income countries",2033,10,5,0.00373415,63.8108
"71","Lower-middle-income countries",2033,15,5,0.00512658,59.0407
"72","Lower-middle-income countries",2033,20,5,0.0069882,54.3314
"73","Lower-middle-income countries",2033,25,5,0.0079806,49.6955
"74","Lower-middle-income countries",2033,30,5,0.0093776,45.0747
"75","Lower-middle-income countries",2033,35,5,0.01191205,40.477
"76","Lower-middle-income countries",2033,40,5,0.01584368,35.9335
"77","Lower-middle-income countries",2033,45,5,0.02279948,31.4696
"78","Lower-middle-income countries",2033,50,5,0.03462122,27.1417
"79","Lower-middle-income countries",2033,55,5,0.05225741,23.0196
"80","Lower-middle-income countries",2033,60,5,0.07852048,19.1425
"81","Lower-middle-income countries",2033,65,5,0.12033789,15.548
"82","Lower-middle-income countries",2033,70,5,0.18513002,12.3148
"83","Lower-middle-income countries",2033,75,5,0.27840587,9.5193
"84","Lower-middle-income countries",2033,80,5,0.40081899,7.2059
"85","Lower-middle-income countries",2033,85,5,0.54429294,5.3729
"86","Lower-middle-income countries",2033,90,5,0.68880452,3.9855
"87","Lower-middle-income countries",2033,95,5,0.80990155,2.9816
"88","Lower-middle-income countries",2033,100,-1,NA,2.2849
"89","Lower-middle-income countries",2038,0,1,0.02328949,71.7121
"90","Lower-middle-income countries",2038,1,4,0.00908387,72.4194
"91","Lower-middle-income countries",2038,5,5,0.00455552,69.0689
"92","Lower-middle-income countries",2038,10,5,0.00348292,64.3746
"93","Lower-middle-income countries",2038,15,5,0.00479655,59.5909
"94","Lower-middle-income countries",2038,20,5,0.00659389,54.8654
"95","Lower-middle-income countries",2038,25,5,0.00757287,50.2125
"96","Lower-middle-income countries",2038,30,5,0.0089206,45.5761
"97","Lower-middle-income countries",2038,35,5,0.01134865,40.963
"98","Lower-middle-income countries",2038,40,5,0.01505378,36.4033
"99","Lower-middle-income countries",2038,45,5,0.02165324,31.9194
"100","Lower-middle-income countries",2038,50,5,0.0328465,27.5669
"101","Lower-middle-income countries",2038,55,5,0.04962882,23.4127
"102","Lower-middle-income countries",2038,60,5,0.07494814,19.4966
"103","Lower-middle-income countries",2038,65,5,0.11507917,15.8614
"104","Lower-middle-income countries",2038,70,5,0.17767804,12.5814
"105","Lower-middle-income countries",2038,75,5,0.26882433,9.7345
"106","Lower-middle-income countries",2038,80,5,0.38966253,7.3711
"107","Lower-middle-income countries",2038,85,5,0.53298485,5.4929
"108","Lower-middle-income countries",2038,90,5,0.67922664,4.0679
"109","Lower-middle-income countries",2038,95,5,0.80330907,3.0351
"110","Lower-middle-income countries",2038,100,-1,NA,2.3178
"111","Lower-middle-income countries",2043,0,1,0.02130625,72.4603
"112","Lower-middle-income countries",2043,1,4,0.00839376,73.0354
"113","Lower-middle-income countries",2043,5,5,0.00425041,69.6403
"114","Lower-middle-income countries",2043,10,5,0.00325818,64.9279
"115","Lower-middle-income countries",2043,15,5,0.00451323,60.132
"116","Lower-middle-income countries",2043,20,5,0.00622747,55.3927
"117","Lower-middle-income countries",2043,25,5,0.00718759,50.7236
"118","Lower-middle-income countries",2043,30,5,0.0084883,46.0723
"119","Lower-middle-income countries",2043,35,5,0.01081597,41.4446
"120","Lower-middle-income countries",2043,40,5,0.01438456,36.8692
"121","Lower-middle-income countries",2043,45,5,0.02061354,32.3688
"122","Lower-middle-income countries",2043,50,5,0.03123625,27.9941
"123","Lower-middle-income countries",2043,55,5,0.04717969,23.8108
"124","Lower-middle-income countries",2043,60,5,0.07134659,19.8582
"125","Lower-middle-income countries",2043,65,5,0.110042,16.1799
"126","Lower-middle-income countries",2043,70,5,0.1705655,12.8543
"127","Lower-middle-income countries",2043,75,5,0.25940999,9.9586
"128","Lower-middle-income countries",2043,80,5,0.37832379,7.5466
"129","Lower-middle-income countries",2043,85,5,0.52103421,5.6236
"130","Lower-middle-income countries",2043,90,5,0.66864843,4.1602
"131","Lower-middle-income countries",2043,95,5,0.79566982,3.097
"132","Lower-middle-income countries",2043,100,-1,NA,2.3575
"133","Lower-middle-income countries",2048,0,1,0.01957268,73.1789
"134","Lower-middle-income countries",2048,1,4,0.00774165,73.6378
"135","Lower-middle-income countries",2048,5,5,0.00397739,70.2
"136","Lower-middle-income countries",2048,10,5,0.00304942,65.4713
"137","Lower-middle-income countries",2048,15,5,0.00425093,60.664
"138","Lower-middle-income countries",2048,20,5,0.00590382,55.9117
"139","Lower-middle-income countries",2048,25,5,0.00682514,51.2284
"140","Lower-middle-income countries",2048,30,5,0.00805956,46.5628
"141","Lower-middle-income countries",2048,35,5,0.01028681,41.9201
"142","Lower-middle-income countries",2048,40,5,0.01373067,37.3287
"143","Lower-middle-income countries",2048,45,5,0.01971195,32.8117
"144","Lower-middle-income countries",2048,50,5,0.02974628,28.4179
"145","Lower-middle-income countries",2048,55,5,0.04491479,24.2075
"146","Lower-middle-income countries",2048,60,5,0.06799593,20.2209
"147","Lower-middle-income countries",2048,65,5,0.10512986,16.5023
"148","Lower-middle-income countries",2048,70,5,0.16377268,13.1305
"149","Lower-middle-income countries",2048,75,5,0.25025003,10.1878
"150","Lower-middle-income countries",2048,80,5,0.36704634,7.7284
"151","Lower-middle-income countries",2048,85,5,0.50884007,5.7607
"152","Lower-middle-income countries",2048,90,5,0.65754114,4.2584
"153","Lower-middle-income countries",2048,95,5,0.78740494,3.164
"154","Lower-middle-income countries",2048,100,-1,NA,2.4011
"155","Lower-middle-income countries",2053,0,1,0.0180759,73.8652
"156","Lower-middle-income countries",2053,1,4,0.00715114,74.2232
"157","Lower-middle-income countries",2053,5,5,0.00369711,70.7465
"158","Lower-middle-income countries",2053,10,5,0.00285939,66.0006
"159","Lower-middle-income countries",2053,15,5,0.00401352,61.1827
"160","Lower-middle-income countries",2053,20,5,0.0056051,56.4186
"161","Lower-middle-income countries",2053,25,5,0.00650061,51.722
"162","Lower-middle-income countries",2053,30,5,0.00766309,47.0437
"163","Lower-middle-income countries",2053,35,5,0.00976592,42.387
"164","Lower-middle-income countries",2053,40,5,0.01306989,37.7793
"165","Lower-middle-income countries",2053,45,5,0.01881161,33.2446
"166","Lower-middle-income countries",2053,50,5,0.02841373,28.831
"167","Lower-middle-income countries",2053,55,5,0.04280944,24.5962
"168","Lower-middle-income countries",2053,60,5,0.06489241,20.5773
"169","Lower-middle-income countries",2053,65,5,0.10049832,16.8207
"170","Lower-middle-income countries",2053,70,5,0.15721104,13.4045
"171","Lower-middle-income countries",2053,75,5,0.2414353,10.4143
"172","Lower-middle-income countries",2053,80,5,0.3562227,7.907
"173","Lower-middle-income countries",2053,85,5,0.4971549,5.8944
"174","Lower-middle-income countries",2053,90,5,0.64691208,4.3532
"175","Lower-middle-income countries",2053,95,5,0.77952257,3.2278
"176","Lower-middle-income countries",2053,100,-1,NA,2.442
"177","Lower-middle-income countries",2058,0,1,0.01675395,74.5285
"178","Lower-middle-income countries",2058,1,4,0.00660432,74.7968
"179","Lower-middle-income countries",2058,5,5,0.00344441,71.2836
"180","Lower-middle-income countries",2058,10,5,0.00267308,66.5221
"181","Lower-middle-income countries",2058,15,5,0.00378904,61.6937
"182","Lower-middle-income countries",2058,20,5,0.00532173,56.9183
"183","Lower-middle-income countries",2058,25,5,0.00619084,52.209
"184","Lower-middle-income countries",2058,30,5,0.00730075,47.5182
"185","Lower-middle-income countries",2058,35,5,0.00928854,42.8487
"186","Lower-middle-income countries",2058,40,5,0.01242346,38.226
"187","Lower-middle-income countries",2058,45,5,0.01790333,33.6736
"188","Lower-middle-income countries",2058,50,5,0.02707595,29.2389
"189","Lower-middle-income countries",2058,55,5,0.04088516,24.9785
"190","Lower-middle-income countries",2058,60,5,0.06197519,20.9298
"191","Lower-middle-income countries",2058,65,5,0.09613954,17.1369
"192","Lower-middle-income countries",2058,70,5,0.15092927,13.678
"193","Lower-middle-income countries",2058,75,5,0.23293473,10.641
"194","Lower-middle-income countries",2058,80,5,0.34568641,8.0863
"195","Lower-middle-income countries",2058,85,5,0.48564748,6.0292
"196","Lower-middle-income countries",2058,90,5,0.63630679,4.4491
"197","Lower-middle-income countries",2058,95,5,0.77155698,3.2924
"198","Lower-middle-income countries",2058,100,-1,NA,2.4834
"199","Lower-middle-income countries",2063,0,1,0.01562495,75.1594
"200","Lower-middle-income countries",2063,1,4,0.00611554,75.351
"201","Lower-middle-income countries",2063,5,5,0.00319993,71.805
"202","Lower-middle-income countries",2063,10,5,0.0025009,67.0282
"203","Lower-middle-income countries",2063,15,5,0.00357967,62.19
"204","Lower-middle-income countries",2063,20,5,0.00505904,57.4039
"205","Lower-middle-income countries",2063,25,5,0.00590081,52.6826
"206","Lower-middle-income countries",2063,30,5,0.00695886,47.9801
"207","Lower-middle-income countries",2063,35,5,0.0088538,43.2982
"208","Lower-middle-income countries",2063,40,5,0.01183677,38.6616
"209","Lower-middle-income countries",2063,45,5,0.01703566,34.0931
"210","Lower-middle-income countries",2063,50,5,0.0257557,29.6379
"211","Lower-middle-income countries",2063,55,5,0.03897045,25.3509
"212","Lower-middle-income countries",2063,60,5,0.05935491,21.2709
"213","Lower-middle-income countries",2063,65,5,0.0921178,17.445
"214","Lower-middle-income countries",2063,70,5,0.14507182,13.9463
"215","Lower-middle-income countries",2063,75,5,0.22490394,10.865
"216","Lower-middle-income countries",2063,80,5,0.33557358,8.2649
"217","Lower-middle-income countries",2063,85,5,0.47439242,6.1644
"218","Lower-middle-income countries",2063,90,5,0.62570928,4.5462
"219","Lower-middle-income countries",2063,95,5,0.76341635,3.3585
"220","Lower-middle-income countries",2063,100,-1,NA,2.5262
"221","Lower-middle-income countries",2068,0,1,0.01463913,75.7749
"222","Lower-middle-income countries",2068,1,4,0.00566741,75.8994
"223","Lower-middle-income countries",2068,5,5,0.00297232,72.323
"224","Lower-middle-income countries",2068,10,5,0.00234238,67.5319
"225","Lower-middle-income countries",2068,15,5,0.00338445,62.6846
"226","Lower-middle-income countries",2068,20,5,0.00480839,57.8884
