Mother Tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
Total - Mother Tongue,33121175,1875660,1808725,1917680,2171925,2179800,2160670,2153855,2164810,2314090,2661320,2644410,2326500,2038645,1508175,1135375,893270,651435,362885,124460,24800,2685
  Single responses,32481635,1815240,1758165,1868105,2122470,2133390,2112520,2105325,2118035,2268030,2618340,2607100,2297765,2014325,1490060,1120465,881025,642735,358280,123095,24495,2660
    English,18858980,1169325,1165540,1233605,1370160,1335055,1260215,1172510,1168140,1244330,1459025,1462705,1289465,1122040,799865,569780,438380,325375,189135,69320,13640,1385
    French,7054970,370115,340910,360780,430855,423420,421305,454030,416345,441760,571765,619305,560850,495640,391845,275075,213420,153185,81510,27030,5215,585
    Non-official languages,6567685,275800,251720,273715,321455,374910,430995,478790,533550,581940,587550,525095,447450,396650,298350,275610,229230,164175,87640,26745,5640,695
      Aboriginal languages,200725,16795,14505,14285,15705,14635,12575,12310,13295,15290,15300,14310,12115,10130,7510,5510,3430,1850,815,290,60,10
        Algonquian languages,135425,10835,9335,9215,10225,9285,8215,8300,9270,10750,10895,10380,8715,7045,5085,3700,2240,1185,535,160,40,5
          Algonquin,1585,100,70,75,100,105,110,100,120,170,145,115,110,100,70,40,30,15,15,0,0,0
          Atikamekw,5820,805,700,655,675,505,400,365,340,400,295,230,155,100,80,55,40,15,5,0,0,0
          Blackfoot,2860,40,30,45,70,75,80,115,125,245,345,450,390,315,225,170,85,45,10,5,5,0
          Cree languages,78200,6395,5570,5435,5955,5430,4800,4930,5640,6220,6170,5735,4685,3835,2860,2075,1285,730,315,100,30,5
"            Cree, n.o.s.",77900,6380,5550,5420,5950,5410,4770,4905,5615,6200,6140,5695,4660,3825,2855,2065,1280,720,315,100,30,5
            Swampy Cree,70,5,5,5,0,5,10,5,5,5,5,10,5,5,0,0,0,0,0,0,0,0
            Plains Cree,150,5,15,5,5,10,15,15,15,10,10,20,10,5,5,0,0,0,0,0,0,0
            Woods Cree,70,0,5,5,5,10,10,5,10,5,10,5,5,0,0,0,0,5,0,0,0,0
"            Cree, n.i.e.",10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
          Malecite,420,0,10,0,0,5,10,10,15,25,20,60,80,75,45,25,20,10,10,0,0,0
          Mi'kmaq,7635,535,495,550,610,535,460,510,540,630,575,595,540,385,235,200,140,70,25,10,0,0
          Innu/Montagnais,10785,1290,990,970,1105,980,870,660,630,700,705,575,445,305,215,155,100,50,20,5,5,0
          Naskapi,605,65,55,60,85,65,40,25,30,45,40,30,20,10,10,10,10,0,0,0,0,0
