Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
Total - Mother tongue,34767250,1896770,2016650,1919820,2020315,2234640,2276170,2319110,2278880,2245590,2348780,2663450,2604370,2274615,1955320,1400655,992145,699975,414525,166240,35115,4125
  Single responses,33948620,1820325,1944245,1853905,1958365,2171190,2213850,2256425,2218130,2189960,2298055,2617555,2566135,2245105,1930760,1382935,978795,690645,409290,164160,34710,4075
    Official languages,26627555,1546130,1669930,1574405,1614655,1749130,1732860,1704315,1637130,1585815,1674070,2009000,2035560,1791640,1532070,1092175,726115,501965,299645,121695,26330,2925
      English,19460850,1173075,1269235,1217380,1250320,1325410,1312395,1274920,1179005,1168045,1235565,1441985,1429520,1249235,1063540,732515,490105,338185,204210,85270,18910,2025
      French,7166705,373055,400695,357025,364335,423715,420465,429390,458125,417770,438500,567005,606045,542405,468530,359660,236005,163775,95440,36425,7430,905
    Non-official languages,7321065,274195,274310,279500,343710,422065,480990,552110,581000,604140,623990,608555,530570,453465,398690,290760,252685,188680,109650,42465,8375,1145
      Aboriginal languages,195695,13325,14200,13020,13105,13600,13025,12170,11965,12925,14665,15290,13825,11380,9050,6320,4105,2365,955,330,75,10
        Algonquian languages,130455,7995,8670,8215,8180,8660,8190,7985,8210,9110,10415,11000,10075,8140,6270,4265,2730,1480,610,200,50,5
          Blackfoot,2820,35,45,45,65,55,65,75,120,145,210,395,400,395,310,220,155,65,25,5,0,0
          Cree-Montagnais languages,88445,5985,6555,6095,5985,6300,5780,5575,5635,6250,6890,7025,6245,4770,3635,2605,1670,895,390,125,35,5
            Atikamekw,6150,685,750,670,595,595,465,385,365,355,375,285,250,155,85,75,40,20,10,0,0,0
            Montagnais (Innu),10235,945,1035,880,825,875,815,710,620,630,655,655,525,385,275,170,110,80,30,15,0,0
            Moose Cree,105,0,0,5,10,5,5,5,5,5,10,15,15,5,15,5,5,0,0,0,0,0
            Naskapi,1205,125,145,135,120,115,110,80,55,60,90,55,45,20,15,10,20,10,5,0,0,0
            Northern East Cree,315,10,15,20,20,25,20,25,15,20,15,30,25,25,15,15,10,0,0,0,0,0
            Plains Cree,3065,135,150,145,125,130,110,140,165,240,285,335,320,255,220,150,105,35,15,10,5,0
            Southern East Cree,45,5,5,0,0,5,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0
            Swampy Cree,1440,45,50,30,35,45,80,90,115,135,140,145,145,145,90,75,35,20,5,5,5,0
            Woods Cree,1840,125,80,90,95,115,110,135,130,150,150,170,150,120,90,70,35,15,5,0,5,0
"            Cree, n.o.s.",64050,3905,4325,4115,4165,4395,4065,4000,4155,4660,5170,5335,4770,3650,2825,2035,1320,705,320,95,30,5
          Eastern Algonquian languages,6990,370,390,390,450,440,410,430,430,510,585,590,575,510,405,215,160,90,45,10,0,0
            Malecite,305,0,0,5,0,0,5,5,5,10,10,30,55,60,65,30,15,10,10,0,0,0
            Mi'kmaq,6690,370,385,390,450,430,405,430,425,500,575,560,520,450,345,185,145,80,35,5,0,0
          Ojibway-Potawatomi languages,32150,1615,1685,1685,1675,1870,1935,1905,2030,2200,2725,2980,2855,2460,1915,1225,745,435,155,65,5,0
            Algonquin,1260,80,65,60,60,75,70,90,95,75,105,95,110,85,90,60,20,15,15,5,0,0
            Ojibway,17890,465,530,565,640,665,760,805,965,1225,1765,2050,2055,1885,1500,930,590,325,105,45,5,0
            Oji-Cree,12855,1065,1090,1065,965,1130,1100,1005,965,895,835,810,665,475,310,220,125,85,30,10,0,0
            Ottawa (Odawa),145,0,0,0,10,5,0,0,5,10,15,15,15,20,10,10,5,5,10,0,0,0
"          Algonquian languages, n.i.e.",45,0,0,0,0,0,0,0,0,0,5,10,5,5,5,0,5,0,0,0,0,0
        Athabaskan languages,17370,865,1000,885,985,1135,1140,1090,1075,1150,1410,1485,1345,1155,975,675,490,305,135,45,15,5
